req1,req2,label
the ceiling speed value for the unfitted operation is determined by the lower value out of,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,0
stored train data shall be offered to the driver to be confirmed when data entry starts,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
the etcs trainborne equipment shall transmit its own train identification to the rbc,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,the test shall require no action on the part of the driver,0
the current application level shall be indicated on the dmi,a special indication shall be shown on the dmi,1
partial supervision shall be indicated on the dmi,the supervised speed shall not be shown on the dmi,1
partial supervision shall be indicated on the dmi,the occurrence of a failure shall be displayed on the dmi,1
actual speed shall be indicated on the dmi,the occurrence of a failure shall be displayed on the dmi,1
a special indication shall be shown on the dmi,the occurrence of a failure shall be displayed on the dmi,1
the supervised speed shall not be shown on the dmi,route unsuitability shall be indicated on the dmi,1
route unsuitability shall be indicated on the dmi,the occurrence of a failure shall be displayed on the dmi,1
the train shall be supervised according to train speed data available,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
permission received shall be indicated to the driver,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,the etcs onboard shall be capable of sending to the trackside train integrity information detected by a system outside etcs,1
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,the driver shall enter the driver id,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the etcs trainborne equipment shall be able to determine the location of the entire train,0
the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the etcs trainborne equipment shall be able to determine the location of the entire train,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
the on board shall supervise the train against a ceiling speed,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,0
the target distance shall not be shown on the dmi unless selected by the driver,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
if track data at least to the location where the relevant movement authority ends are not available onboard the movement authority shall be rejected,together with the movement authority the on board shall be able to receive one or more timeouts for certain sections of the movement authority and shorten the movement authority accordingly when a time out expires,0
the target distance shall not be shown on the dmi unless selected by the driver,the driver shall enter the driver id,1
isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
the current application level shall be indicated on the dmi,the supervised shunting speed shall be indicated to the driver on request,1
the test shall require no action on the part of the driver,the target distance shall not be shown on the dmi unless selected by the driver,1
the roll awayreverse movement intervention shall be indicated on the dmi,the supervised speed shall not be shown on the dmi,1
the roll awayreverse movement intervention shall be indicated on the dmi,the occurrence of a failure shall be displayed on the dmi,1
the following information shall be recorded,information shall be shown on the dmi,1
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,0
the roll awayreverse movement intervention shall be indicated on the dmi,information shall be shown on the dmi,1
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,0
the driver shall be able to consult train data when the train is stationary or moving,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,0
when the train passes the stop signal the train trip function shall be suppressed,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,the driver shall be able to override the function when the train is stationary,0
the driver shall be able to select train data entry on the dmi,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,0
the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,0
the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,the etcs trainborne equipment shall be able to determine the location of the entire train,0
exit from shunting shall only be possible when the train is stationary,exit from shunting shall take place when the driver selects exit from shunting,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the release speed shall be calculated on board based on either,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
the etcs trainborne equipment shall be able to determine the location of the entire train,when the train passes the stop signal the train trip function shall be suppressed,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,0
the test shall require no action on the part of the driver,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0
when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,after the acknowledgement the driver shall be able to continue the movement,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,when the plain text message appears on the dmi the driver shall be alerted,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,after the acknowledgement the driver shall be able to continue the movement,0
a special indication shall be shown on the dmi,the emergency stop shall be indicated to the driver on the dmi,1
the on board shall supervise the train against a ceiling speed,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the emergency stop shall be indicated to the driver on the dmi,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,after the acknowledgement the driver shall be able to continue the movement,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,0
the etcs onboard shall be capable of receiving national values from the trackside to adapt to national requirements,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,1
the on board shall supervise the train against a ceiling speed,the release speed shall be indicated on the dmi,1
the etcs onboard shall be capable of receiving information about pantograph and power supply from the trackside,the following train data shall be sent from the on board to the trackside,1
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the target distance shall not be shown on the dmi unless selected by the driver,operation of the train trip shall be indicated on the dmi,1
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,after the acknowledgement the driver shall be able to continue the movement,0
the ceiling speed level for the movement authority shall be defined as data national value,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,operation of the train trip shall be indicated on the dmi,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,when the plain text message appears on the dmi the driver shall be alerted,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the following train data shall be sent from the on board to the trackside,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the driver shall be able to override the function when the train is stationary,0
the test shall require no action on the part of the driver,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,0
the dmi shall indicate the result of the selftest,the release speed shall be indicated on the dmi,1
exit from shunting shall only be possible when the train is stationary,the driver shall be able to override the function when the train is stationary,0
the target distance shall not be shown on the dmi unless selected by the driver,actual speed shall still be shown on the dmi,1
the etcs onboard shall be capable of sending to the trackside train integrity information detected by a system outside etcs,the following train data shall be sent from the on board to the trackside,1
the driver shall be able to consult train data when the train is stationary or moving,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the cooperative revocation of the ma shall be possible to a new target location proposed from rbc,0
the driver shall be able to use the reversing function without needing to reconfirm the train data,the train shall be able to automatically pass from one rbc area to another without driver intervention,0
train data may be entered automatically from a railway management system or from train memory,the following data may be entered manually by the driver or from train memory,0
when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
when changing to a higher speed level the rear end of the train shall respect the static train speed profile,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,0
the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,once the train starts reversing the ma shall be cancelled,0
where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,0
etcs shall be able to supervise train and shunting movements,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,0
within the braking curve area a warning shall be given to the driver to enable him to react and avoid intervention from etcs equipment at least sec before the intervention,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the train shall have the capability of being supervised to a ceiling speed,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0
the trackside shall be able to send information for the calculation of speed profiles,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,when the plain text message appears on the dmi the driver shall be alerted,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the following train data shall be sent from the on board to the trackside,0
the etcs trainborne equipment shall be able to determine the location of the entire train,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0
the emergency stop shall be indicated to the driver on the dmi,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,1
stored train data shall be offered to the driver to be confirmed when data entry starts,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the train shall have the capability of being supervised to a ceiling speed,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the etcs trainborne equipment shall be able to determine the location of the entire train,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0
the dmi shall indicate the result of the selftest,the target distance shall not be shown on the dmi unless selected by the driver,1
the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,the driver shall enter the driver id,0
partial supervision shall be indicated on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1
actual speed shall be indicated on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1
route unsuitability shall be indicated on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1
the driver shall select an override control according to the permission received,the driver shall be able to override the function when the train is stationary,0
the driver shall be able to override the function when the train is stationary,the emergency brake shall be applied until the traction unit is stationary,0
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,the etcs trainborne equipment shall be able to determine the location of the entire train,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,the supervised speed shall not be shown on the dmi,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,the occurrence of a failure shall be displayed on the dmi,0
the driver shall be able to consult train data when the train is stationary or moving,the etcs trainborne equipment shall be able to determine the location of the entire train,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,in etcs with rbc this restriction on performance shall if possible be transmitted to the rbc,0
this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,the release speed shall be indicated on the dmi,1
the test shall require no action on the part of the driver,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,when the train passes the stop signal the train trip function shall be suppressed,0
the entry of driver identification and the selection of the language shall be possible,the change of driver identification during a journey or a train running number shall be possible,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the cooperative revocation of the ma shall be possible to a new target location proposed from rbc,0
when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,when the plain text message appears on the dmi the driver shall be alerted,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0
etcs shall provide the driver with information to allow him to drive the train safely,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,0
the release speed shall be calculated on board based on either,actual speed shall be indicated on the dmi,1
a special indication shall be shown on the dmi,operation of the train trip shall be indicated on the dmi,1
when the traction unit has come to a standstill the driver shall be able to release the emergency brake,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,when the train passes the stop signal the train trip function shall be suppressed,0
when changing to a higher speed level the rear end of the train shall respect the static train speed profile,when the train passes the stop signal the train trip function shall be suppressed,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the driver shall enter the driver id,0
when the train passes the stop signal the train trip function shall be suppressed,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
if the supervision is performed by a rbc it shall be possible to prevent movements of a traction unit in its area if not authorised by the rbc,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,0
the entry of driver identification and the selection of the language shall be possible,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
when the train passes the stop signal the train trip function shall be suppressed,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
the etcs trainborne equipment shall be able to determine the location of the entire train,the etcs onboard shall be capable of sending to the trackside train integrity information detected by a system outside etcs,1
the driver shall be able to select train data entry on the dmi,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the following definitions shall apply for the etcs application levels,etcs shall calculate the permitted speed for the train for all locations of the authorised movement,0
the etcs trainborne equipment shall be able to determine the location of the entire train,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the following data may be entered manually by the driver or from train memory,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,information shall be shown on the dmi,1
the on board shall supervise the train against a ceiling speed,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,0
the on board shall supervise the train against a ceiling speed,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,0
the current operational status shall be indicated to the driver on the dmi,a special indication shall be shown on the dmi,1
the supervised shunting speed shall be indicated to the driver on request,operation of the train trip shall be indicated on the dmi,1
the driver shall be able to consult train data when the train is stationary or moving,after the acknowledgement the driver shall be able to continue the movement,0
the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
when the plain text message appears on the dmi the driver shall be alerted,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
